ɳʘ,ʘ̃
ɳǀ,ǀ̃
ɳǂ,ǂ̃
ɳǃ,ǃ̃
ɳǃǃ,‼̃
ɳǁ,ǁ̃
ʘ̰,ʘ̬
ɡʘ,ʘ̬
ǀ̰,ǀ̬
ɡǀ,ǀ̬
ǂ̰,ǂ̬
ɡǂ,ǂ̬
ǃ̰,ǃ̬
ɡǃ,ǃ̬
ǃǃ̰,‼̬
ɡǃǃ,‼̬
ǁ̰,ǁ̬
ɡǁ,ǁ̬
ǃǃ,‼
pᶠ,p͡ɸ
bᵛ,b͡β
p̪ᶠ,p̪͡f
b̪ᵛ,b̪͡v
tᶿ,t̪͡θ
dᶞ,d̪͡ð
tʳ,t͡ɹ̝̊
dʳ,d͡ɹ̝
kˣ,k͡x
gˠ,g͡ɣ
qᵡ,q͡χ
ɢʶ,ɢ͡ʁ
ʡʢ,ʡ͡ʢ
ʔh,ʔ͡h
c,t͡s
ʒ,d͡z
č,t̠͡ʃ
ǯ,d̠͡ʒ
c̢,ʈ͡ʂ
ᶚ,ɖ͡ʐ
ɕ,t͡ɕ
ʓ,d͡ʑ
ƛ,tɬ
ᴌ,dɮ
m,m
ɱ,ɱ
n,n
ɳ,ɳ
ɲ,ɲ
ŋ,ŋ
ɴ,ɴ
p,p
b,b
p̪,p̪
t,t
d,d
ʈ,ʈ
ɖ,ɖ
ȶ,c
ȡ,ɟ
k,k
g,g
q,q
ɢ,ɢ
ʡ,ʡ
ʔ,ʔ
ɂ,ʔ
Ɂ,ʔ
ˀ,ʔ
ɓ,ɓ
ɗ,ɗ
ʄ,ʄ
ɠ,ɠ
ʛ,ʛ
ɸ,ɸ
β,β
ꞵ,β
f,f
v,v
θ,θ
ð,ð
s,s
z,z
š,ʃ
ž,ʒ
ʂ,ʂ
ʐ,ʐ
ʆ,ɕ
,ɕ
ʑ,ʑ
x,x
ɣ,ɣ
γ,ɣ
χ,χ
ꭓ,χ
ʁ,ʁ
ħ,ħ
ʕ,ʕ
ˁ,ʕ
ʜ,ʜ
ʢ,ʢ
h,h
ɦ,ɦ
ʍ,ʍ
w,w
ɹ,ɹ
ɻ,ɻ
y,j
ɰ,ɰ
r,r
ʀ,ʀ
ⱱ,ⱱ
ɾ,ɾ
ɽ,ɽ
ɢ̆,ɢ̆
ɬ,ɬ
ʫ,ɮ
l,l
ɭ,ɭ
ʎ,ʎ
ɫ,ɫ
ʘ,ʘ
ǀ,ǀ
ǂ,ǂ
ǃ,ǃ
ǁ,ǁ
i,i
ü,y
ɨ,ɨ
ʉ,ʉ
ɯ,ɯ
u,u
ɪ,ɪ
ʏ,ʏ
ʊ,ʊ
e,e
ö,ø
ɘ,ɘ
ɵ,ɵ
ɤ,ɤ
o,o
ǝ,ə
ə,ə
ɛ,ɛ
œ,œ
ɜ,ɜ
ɞ,ɞ
ʌ,ʌ
ɔ,ɔ
ä,æ
ɐ,ɐ
a,a
ɑ,ɑ
ɒ,ɒ
◌̥,◌̥
◌̊,◌̊
◌̪,◌̪
◌̬,◌̬
ʰ,ʰ
ʱ,ʱ
◌̹,◌̹
◌͗,◌͗
◌˒,◌˒
◌̜,◌̜
◌͑,◌͑
◌˓,◌˓
◌̟,◌̟
◌˖,◌˖
◌̠,◌̠
◌˗,◌˗
◌̽,◌̽
◌̩,◌̩
◌̍,◌̍
◌̯,◌̯
◌̑,◌̑
◌˞,◌˞
◌ʳ,◌˞
◌̤,◌̤
◌̰,◌̰
◌̼,◌̼
ʷ,ʷ
ʸ,ʲ
◌ˠ,◌ˠ
◌ˤ,◌ˤ
◌̴,◌̴
◌̝,◌̝
◌˔,◌˔
◌̞,◌̞
◌˕,◌˕
◌̘,◌̘
◌̙,◌̙
◌̪,◌̪
◌͆,◌͆
◌̺,◌̺
◌̻,◌̻
◌̃,◌̃
ⁿ,ⁿ
ˡ,ˡ
◌̚,◌̚
ᵊ,ᵊ
ᶿ,ᶿ
ˣ,ˣ
ʼ,ʼ
◌͡◌,◌͡◌
◌͜◌,◌͜◌
ˈ,ˈ
ˌ,ˌ
ː,ː
ˑ,ˑ
◌̆,◌̆
|,|
‖,‖
.,.
‿,‿
◌̋,◌̋
˥,˥
◌́,◌́
˦,˦
◌̄,◌̄
˧,˧
◌̀,◌̀
˨,˨
◌̏,◌̏
˩,˩
ꜜ,ꜜ
ꜛ,ꜛ
◌̌,◌̌
˩˥,˩˥
◌̂,◌̂
˥˩,˥˩
◌᷄,◌᷄
˦˥,˦˥
◌᷅,◌᷅
˩˨,˩˨
◌᷈,◌᷈
˧˦˧,˧˦˧
↗,↗
↘,↘
